year,ind,prod,ipi,ppi,imports,exports,wages,emp,M3,lagvpfrac,lnlagvp,ind2
2013,334,-0.019503729,0.06719125,-0.000327687,0.001237559,-0.005551938,-0.022133796,-0.027292603,-0.029923791,0.056486147,12.54758591,33
2014,334,-0.007613013,0.04382548,0,0.040993705,0.00526579,0.030389383,-0.015778054,0.041939601,0.054499573,12.53309038,33
2007,335,0.058223181,0.033047854,0.046567137,0.055298516,0.064923039,0.031504376,-0.009011207,0.054867787,,11.62746304,33
2008,335,0.003023922,-0.002002003,0.044890828,0.010568531,0.034822415,0.028976557,-0.009061232,-0.016017995,0.02544331,11.6936413,33
2009,335,-0.21452088,-0.135590654,0.006201921,-0.203862748,-0.236944101,-0.12787216,-0.120398162,-0.206977923,0.02515113,11.7007143,33
2010,335,0.071131047,0.0303352,0.025629968,0.212264208,0.166128932,-0.002736107,-0.05814029,0.063787808,0.02541688,11.47586013,33
2011,335,0.072678935,0.032176732,0.030904924,0.102702696,0.098871928,0.095738668,0.025628876,0.052921505,0.023983158,11.54609665,33
2012,335,0.027805762,0.030820142,0.01654076,0.069497449,0.070493497,0.034067692,0.022184269,0.025301261,0.022931665,11.6242019,33
2013,335,-0.007019343,0.028198654,0.002655289,0.054203313,0.031562352,0.032386874,0.003316719,-0.001818463,0.022775257,11.6539265,33
2014,335,0.018203243,0.03246719,0.000720721,0.056717215,0.036765836,0.025223447,0.009573148,0.018125292,0.022524998,11.64952322,33
2007,336,0.062624025,0.01813457,0.017259737,0.030800707,0.127356468,0.006471192,-0.025868435,-0.004969656,,13.3046964,33
2008,336,-0.097062177,-0.099268002,0.022479018,-0.087476688,-0.000882725,-0.046230933,-0.048907361,-0.112781216,0.137349747,13.33657209,33
2009,336,-0.205056906,-0.144332371,0.019931978,-0.346814927,-0.270876391,-0.159922261,-0.182473977,-0.157531604,0.119613569,13.26007778,33
2010,336,0.175009957,0.106789494,0.008169823,0.288634656,0.135009629,0.002572984,-0.028238304,0.008606889,0.119206427,13.02130328,33
2011,336,0.068239669,0.082869478,0.017566373,0.110502569,0.131237841,0.08716683,0.040051166,0.043182222,0.126725443,13.2107677,33
2012,336,0.099262,0.109392377,0.021288998,0.157933054,0.119130291,0.058487846,0.05584114,0.105564231,0.122714768,13.30154591,33
2013,336,0.062242634,0.053066721,0.010707117,0.0559299,0.05882775,0.046759541,0.035565955,0.074115265,0.132726336,13.41582331,33
2014,336,0.06348707,0.057608313,0.013698844,0.062506205,0.058534168,0.049822824,0.029412838,0.04403567,0.139502284,13.47297848,33
2007,337,-0.045883907,-0.030768534,0.019757006,0.024282841,0.101058764,-0.014095995,-0.049053315,-0.050914357,,11.29960674,33
2008,337,-0.055211656,-0.111490376,0.035446635,-0.0599687,0.131638222,-0.061433111,-0.084430953,-0.077725683,0.016639635,11.26742982,33
2009,337,-0.297790877,-0.215671536,0.028431327,-0.223799241,-0.239317692,-0.244034908,-0.229143785,-0.21158658,0.015379471,11.20884504,33
2010,337,-0.017339479,-0.007830579,0.002861046,0.174856428,0.126272886,-0.054656005,-0.08609038,0.019560489,0.014491602,10.91401593,33
2011,337,0.06010534,0.047455941,0.021484045,0.029803199,0.088086791,0.017622973,-0.018817461,0.062593212,0.012611849,10.90338162,33
2012,337,0.08878272,0.02810143,0.022083877,0.08211218,0.124933843,0.016491128,-0.001275356,0.041233161,0.011790719,10.95899589,33
2013,337,0.044170855,0.032079893,0.014299947,0.067539659,0.017389528,0.03956285,0.018167256,0.040354622,0.012284128,11.03814381,33
2014,337,0.01798521,0.067658648,0.018475057,0.078773318,0.026314164,0.046212701,0.028755631,0.034298771,0.01261034,11.06941459,33
2007,339,0.002190634,0.043059489,0.021280122,0.106359084,0.128619531,0.037628557,-0.01133217,0.020748227,,11.81366732,33
2008,339,0.045427818,-0.00471108,0.026694516,0.028564007,0.070838123,0.021376288,-0.014799606,0.012107016,0.028894521,11.81713388,33
2009,339,-0.074592187,-0.056464537,0.014835147,-0.175025867,-0.140243579,-0.07675165,-0.077953997,-0.063102192,0.029456468,11.858725,33
2010,339,0.029121976,0.022446189,0.012992836,0.168011102,0.105217149,0.0122079,-0.030458737,0.046069059,0.034374403,11.7777588,33
2011,339,0.001935916,0.029073247,0.024745931,0.065530689,0.070620188,0.048723237,0.01060117,0.070313298,0.031681808,11.82448746,33
2012,339,-0.056922971,0.044112575,0.015316098,-0.021149628,0.03229037,0.038807554,0.007900912,0.027841123,0.028391303,11.83776609,33
2013,339,0.053953623,0.065694103,0.009282205,0.056058469,-0.008610493,0.029045646,0.000944081,0.032588042,0.026292006,11.790191,33
2014,339,0.016798341,0.044303926,0.001683502,0.033772572,0.024713204,0.023580281,0.007554222,0.060660482,0.027086051,11.83391638,33
